bogstav;parti;procent_25;procent_21
ALT;Alternativet;1.3245420513405892;0.7010519453106003
DD;Danmarksdemokraterne;5.366278295805854;
DF;Dansk Folkeparti;9.046879283560266;4.159285414646007
EL;Enhedslisten;7.271590092353361;7.66748428227511
K;Konservative;10.787291302177024;14.152064479411317
KD;Kristendemokraterne;0.7079149047581254;1.1745876518667553
LA;Liberal Alliance;5.943506569271978;1.5728078683478555
M;Moderaterne;1.7849017573604904;
R;Radikale;6.465083143954185;6.114181622886824
SF;SF;10.797789236265809;7.352127804541775
S;Socialdemokratiet;22.14017461352899;28.069899454655733
V;Venstre;17.09588566358485;23.041162670770778
Andre;Andre;1.268163086038475;
