kandidat,parti,region,stemmer
Pia Kjærsgaard,Dansk Folkeparti,Østdanmark,71226
"Mads Duedahl, Aalborg",Venstre,Nordjylland,35683
"Anders Kühnau, Aarhus",Socialdemokratiet,Midtjylland,33683
"Peter Kofod, Haderslev",Dansk Folkeparti,Syddanmark,26808
"Bo Libergren, Odense",Venstre,Syddanmark,22866
"Arne Boelt, Hjørring",Socialdemokratiet,Nordjylland,17470
"Lars Gaardhøj, København",Socialdemokratiet,Østdanmark,13728
"Christoffer Buster Reinhardt, Rudersdal",Konservative,Østdanmark,13598
"Anders G. Christensen, Favrskov",Venstre,Midtjylland,13113
"Mette With Hagensen, Varde",Socialdemokratiet,Syddanmark,12557
"Camilla Hove Lund, Holbæk",Venstre,Østdanmark,11988
"Trine Birk Andersen, Holbæk",Socialdemokratiet,Østdanmark,10772
"Laila Kildesgaard, Bornholm",Socialdemokratiet,Østdanmark,10202
"Poul Berggreen, Silkeborg",Venstre,Midtjylland,8808
"Purnima Erichsen, Aarhus",Konservative,Midtjylland,8272
"Helge Adam Møller, Næstved",Konservative,Østdanmark,7899
"Mette Bossen Linnet, Tønder",Venstre,Syddanmark,7689
"Joachim Hoffmann, Odense",Konservative,Syddanmark,7105
"Birte Markfoged, Skive",Venstre,Midtjylland,6963
"Thomas Adelskov, Odsherred",Socialdemokratiet,Østdanmark,6824
"Annette Blynel, Svendborg",SF,Syddanmark,6813
"Susanne Lundvald, Næstved",Socialdemokratiet,Østdanmark,6676
"Else Søjmark, Djursland",Socialdemokratiet,Midtjylland,6235
"Jacob Klærke, Horsens",SF,Midtjylland,6070
"Jette Damsø Henriksen, Sønderborg",Socialdemokratiet,Syddanmark,5912
"Anne Fabricius, Odense",Socialdemokratiet,Syddanmark,5825
"John Hansen, Guldborgsund",Socialdemokratiet,Østdanmark,5603
"Gitte Frederiksen, Vejle",Venstre,Syddanmark,5557
"Susanne Buch, Favrskov",SF,Midtjylland,5546
"Jens Erik T. Damgaard, Ringkøbing",Kristendemokraterne,Midtjylland,5481
"Bent B. Graversen, Lemvig",Venstre,Midtjylland,5447
"Torben Klitmøller Hollmann, Lolland",Socialdemokratiet,Østdanmark,5446
"Iben Krog, København",Venstre,Østdanmark,5339
"Jakob Søgaard Clausen, Aarhus",Danmarksdemokraterne,Midtjylland,5309
"Peter Westermann, København",SF,Østdanmark,5229
"Hans Stavnsager, Faaborg",Socialdemokratiet,Syddanmark,5133
