bogstav,procent_25,procent_21,partier,listebogstav
ALT,1.3145022409197606,0.795145696033668,Alternativet,Å
D,0.3394393792800489,,D,D
DD,7.883644654537222,,Danmarksdemokraterne,Æ
DF,5.7805758207048585,3.955796448396682,Dansk Folkeparti,O
EL,5.123661579343112,6.108313508080303,Enhedslisten,Ø
K,9.112714356170143,12.07980785521372,Konservative,C
KD,1.7420691922717242,2.7077665161798268,Kristendemokraterne,K
LA,6.505674391528974,1.7281071546028044,Liberal Alliance,I
M,1.171126496753833,,Moderaterne,M
P,1.9660264167113595,,P,P
R,0.20549624986187956,,R,R
R,4.802952677919327,5.043088781540661,Radikale,B
SF,10.734180831309812,7.217246332862083,SF,F
S,23.944692537184714,29.323008540875616,Socialdemokratiet,A
V,19.111824995351068,24.68055359794529,Venstre,V
Y,0.26141818015216156,,Y,Y
