bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.45641405372280663,0.320733694427091,Alternativet,Å
D,0.27576345623531817,,D,D
DD,9.232649882545195,,Danmarksdemokraterne,Æ
DF,4.5341384945357985,3.883582685532849,Dansk Folkeparti,O
EL,3.8163236645899294,4.627453000920982,Enhedslisten,Ø
K,10.23324992339904,15.801286799039088,Konservative,C
KD,0.48641609641507505,0.879441485422074,Kristendemokraterne,K
L,0.5374834031253192,,L,L
LA,5.02470380962108,1.118703669116179,Liberal Alliance,I
M,0.9058063527729547,,Moderaterne,M
R,3.872816872638137,3.709690923494066,Radikale,B
SF,8.471747012562556,4.209790750246347,SF,F
S,25.07213257072822,34.983480282606315,Socialdemokratiet,A
V,27.08035440710857,25.2262203015412,Venstre,V
