bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.8515157824273076,0.4450547892997867,Alternativet,Å
DD,7.408793461961148,,Danmarksdemokraterne,Æ
DF,11.59574215754228,4.2867626909908685,Dansk Folkeparti,O
E,0.24061711833987368,,E,E
EL,3.972949681241616,4.302826239649248,Enhedslisten,Ø
K,6.197010865984435,7.696329636617332,Konservative,C
KD,0.6815288806428405,0.9434972550230089,Kristendemokraterne,K
LA,5.655161144947436,0.9469619419885412,Liberal Alliance,I
M,1.8226812600641469,,Moderaterne,M
R,0.12307578780363745,,R,R
R,3.1356653603590545,4.217941408993697,Radikale,B
SF,9.382486341750102,6.437703353502011,SF,F
S,22.061664395782216,25.90341712626264,Socialdemokratiet,A
V,26.871107761153905,39.214586962067976,Venstre,V
