bogstav,procent_25,procent_21,partier,listebogstav
ALT,1.710101502396305,,Alternativet,Å
DD,2.7441905286152735,,Danmarksdemokraterne,Æ
DF,10.749714544008752,,Dansk Folkeparti,O
EL,10.300195018264331,,Enhedslisten,Ø
J,0.150856645283754,,J,J
K,13.43726450314019,,Konservative,C
KD,0.27162515451367103,,Kristendemokraterne,K
L,0.15397638289302282,,L,L
LA,5.924243064996613,,Liberal Alliance,I
M,2.181043226391039,,Moderaterne,M
N,0.23203915062717126,,N,N
P,0.09705850339947408,,P,P
R,0.1475289251672006,,R,R
R,9.205791064932832,,Radikale,B
SF,11.75343812416417,,SF,F
S,20.397399109418902,,Socialdemokratiet,A
T,0.1195206141862095,,T,T
U,0.1346340097155562,,U,U
V,10.289379927885532,,Venstre,V
